"","userId","movieId","rating"
"1",1,"16",4
"2",1,"32",4
"3",1,"47",4
"4",1,"50",4
"5",1,"110",4
"6",1,"150",3
"7",1,"161",4
"8",1,"165",3
"9",1,"223",4
"10",1,"260",4.5
"11",1,"261",1.5
"12",1,"296",4
"13",1,"318",4
"14",1,"349",4.5
"15",1,"356",3
"16",1,"377",2.5
"17",1,"380",3
"18",1,"457",4
"19",1,"480",3.5
"20",1,"527",4.5
"21",1,"589",3.5
"22",1,"590",3.5
"23",1,"592",2.5
"24",1,"593",5
"25",1,"597",3
"26",1,"608",3.5
"27",1,"648",3.5
"28",1,"724",3.5
"29",1,"736",3
"30",1,"780",3.5
"31",1,"858",5
"32",1,"912",5
"33",1,"1089",4.5
"34",1,"1136",5
"35",1,"1196",4.5
"36",1,"1198",4
"37",1,"1210",4.5
"38",1,"1213",5
"39",1,"1220",4
"40",1,"1221",5
"41",1,"1222",5
"42",1,"1233",4.5
"43",1,"1258",4.5
"44",1,"1265",3
"45",1,"1270",3
"46",1,"1580",3.5
"47",1,"1617",3.5
"48",1,"1721",1.5
"49",1,"1923",1.5
"50",1,"1961",3
"51",1,"2028",4.5
"52",1,"2194",4.5
"53",1,"2396",4
"54",1,"2407",2.5
"55",1,"2502",4
"56",1,"2542",4.5
"57",1,"2571",4.5
"58",1,"2628",3
"59",1,"2716",3.5
"60",1,"2762",3
"61",1,"2858",4
"62",1,"2947",3.5
"63",1,"2959",5
"64",1,"3421",4.5
"65",1,"3578",4
"66",1,"4011",4.5
"67",1,"4027",3.5
"68",1,"4085",3.5
"69",1,"4306",4
"70",1,"4963",3.5
"71",1,"4993",4.5
"72",1,"4995",4
"73",1,"5349",3
"74",1,"5378",3.5
"75",1,"5418",4
"76",1,"5445",3.5
"77",1,"5952",4.5
"78",1,"6365",4.5
"79",1,"6711",3.5
"80",1,"7153",4.5
"81",1,"8961",4
"82",1,"32587",4.5
"83",1,"33493",4.5
"84",1,"33794",4.5
"85",1,"48516",5
"86",1,"48780",4
"87",1,"49272",3.5
"88",1,"54286",4
"89",2,"5",3
"90",2,"7",3
"91",2,"11",4
"92",2,"21",5
"93",2,"34",5
"94",2,"36",4
"95",2,"39",4
"96",2,"50",5
"97",2,"141",3
"98",2,"150",4
"99",2,"165",3
"100",2,"185",3
"101",2,"223",5
"102",2,"261",3
"103",2,"292",3
"104",2,"296",5
"105",2,"300",4
"106",2,"339",3
"107",2,"349",3
"108",2,"350",3
"109",2,"356",3
"110",2,"357",4
"111",2,"367",4
"112",2,"368",3
"113",2,"377",3
"114",2,"380",3
"115",2,"410",3
"116",2,"454",3
"117",2,"457",4
"118",2,"480",4
"119",2,"485",3
"120",2,"497",4
"121",2,"500",4
"122",2,"508",3
"123",2,"509",5
"124",2,"527",4
"125",2,"529",5
"126",2,"539",3
"127",2,"586",4
"128",2,"587",3
"129",2,"588",3
"130",2,"589",3
"131",2,"590",4
"132",2,"592",3
"133",2,"593",5
"134",2,"595",4
"135",2,"597",3
"136",2,"608",5
"137",2,"648",4
"138",2,"736",3
"139",3,"32",5
"140",3,"111",4
"141",3,"296",4
"142",3,"318",4
"143",3,"509",3
"144",3,"527",4
"145",3,"593",4
"146",3,"608",4
"147",3,"858",5
"148",3,"904",4
"149",3,"912",5
"150",3,"913",5
"151",3,"919",5
"152",3,"1094",4
"153",3,"1196",4
"154",3,"1203",5
"155",3,"1204",5
"156",3,"1207",5
"157",3,"1219",3
"158",3,"1225",5
"159",3,"1230",4
"160",3,"1233",5
"161",3,"1247",4
"162",3,"1250",5
"163",3,"1252",4
"164",3,"1276",5
"165",3,"1358",4
"166",3,"1617",4
"167",3,"1732",2
"168",3,"1997",5
"169",3,"2019",4
"170",3,"2324",5
"171",3,"2671",4
"172",3,"2683",1
"173",3,"2692",4
"174",3,"2761",4
"175",3,"2763",4
"176",3,"2987",5
"177",3,"3114",5
"178",3,"5060",5
"179",4,"1",4
"180",4,"110",0.5
"181",4,"231",0.5
"182",4,"344",1
"183",4,"364",3
"184",4,"480",3
"185",4,"500",0.5
"186",4,"588",3.5
"187",4,"592",0.5
"188",4,"595",4
"189",4,"778",4
"190",4,"1206",4.5
"191",4,"1517",3.5
"192",4,"1580",3.5
"193",4,"2490",0.5
"194",4,"2571",1.5
"195",4,"2683",4
"196",4,"2762",3.5
"197",4,"2959",1.5
"198",4,"4306",4
"199",4,"6377",3.5
"200",4,"8360",4
"201",4,"68954",5
"202",5,"480",3.5
"203",5,"1073",5
"204",5,"1097",4
"205",5,"1199",4
"206",5,"1682",4
"207",5,"1732",4.5
"208",5,"2329",5
"209",5,"2572",5
"210",5,"2599",4.5
"211",5,"2858",5
"212",5,"2918",4
"213",5,"2959",5
"214",5,"3897",4
"215",5,"4878",4
"216",5,"4886",3
"217",5,"4963",5
"218",5,"5989",5
"219",5,"6377",3.5
"220",5,"6711",4
"221",5,"6874",5
"222",5,"7147",3
"223",5,"7361",5
"224",5,"7438",5
"225",5,"44191",3
"226",5,"46578",5
"227",5,"48394",3
"228",5,"49272",4
"229",5,"56367",5
"230",5,"60069",5
"231",5,"68954",4
"232",5,"69122",3
"233",6,"10",4
"234",6,"32",5
"235",6,"47",5
"236",6,"70",4.5
"237",6,"145",4
"238",6,"165",5
"239",6,"196",2
"240",6,"231",4
"241",6,"260",5
"242",6,"288",4.5
"243",6,"293",4
"244",6,"296",3.5
"245",6,"316",4
"246",6,"344",1
"247",6,"356",5
"248",6,"367",1
"249",6,"377",3.5
"250",6,"485",3.5
"251",6,"527",2.5
"252",6,"541",4
"253",6,"589",4.5
"254",6,"593",5
"255",6,"648",3.5
"256",6,"733",4.5
"257",6,"780",4
"258",6,"858",3.5
"259",6,"1036",5
"260",6,"1080",5
"261",6,"1089",3
"262",6,"1127",3
"263",6,"1136",5
"264",6,"1196",5
"265",6,"1198",5
"266",6,"1200",5
"267",6,"1206",3
"268",6,"1208",5
"269",6,"1210",5
